Time,Treatment number,InitialCover,InitialRichness,InitialNative,Recruits,Block,Nrecruits,NISRecruits
1,1,42,3,66.66666667,1,1,1,0
1,2,16,1,100,0,1,0,0
1,3,20,3,100,1,1,1,0
1,4,34,1,0,0,1,0,0
1,5,68,1,0,0,1,0,0
1,6,48,3,100,0,1,0,0
1,7,52,4,100,0,1,0,0
1,8,64,5,100,0,1,0,0
1,9,56,5,60,0,1,0,0
1,10,0,0,0,3,1,3,0
1,11,78,1,0,0,1,0,0
1,12,36,3,100,2,1,0,2
1,13,10,1,100,4,1,0,4
1,14,46,3,100,0,1,0,0
1,15,0,0,0,1,1,0,1
1,16,20,3,66.66666667,3,1,0,3
1,17,42,1,100,0,1,0,0
1,18,70,1,100,0,1,0,0
1,19,24,1,0,0,1,0,0
1,20,38,4,50,4,1,0,4
1,21,0,0,0,9,1,1,8
1,22,0,0,0,9,1,0,9
1,23,62,6,83.33333333,4,1,0,4
1,24,30,6,83.33333333,4,1,0,4
1,25,60,5,60,0,1,0,0
1,26,54,4,50,2,1,1,1
1,27,38,3,100,1,1,0,1
1,28,0,0,0,24,1,1,23
1,29,44,6,66.66666667,6,1,1,5
1,30,46,2,50,0,1,0,0
1,31,26,3,66.66666667,3,1,2,3
1,32,70,4,75,0,1,0,0
1,33,8,1,100,7,1,0,7
1,34,54,5,100,1,1,0,1
1,35,44,5,40,0,1,0,0
1,36,32,2,0,6,1,1,5
1,37,70,7,57.14285714,0,1,0,0
1,38,56,4,100,2,1,0,2
1,39,8,1,100,1,1,0,1
1,40,56,6,83.33333333,0,1,0,0
1,41,48,1,0,3,1,0,3
1,42,0,0,0,10,1,0,10
1,43,48,5,100,5,1,1,4
1,44,46,1,0,4,1,1,3
1,45,50,2,100,0,1,0,0
1,46,34,2,100,4,1,1,3
1,47,0,0,0,0,1,0,0
1,48,20,1,0,0,2,0,0
1,49,30,3,33.33333333,0,2,0,0
1,50,78,1,0,0,2,0,0
1,51,34,4,100,0,2,0,0
1,52,44,1,0,8,2,2,6
1,53,70,4,75,0,2,0,0
1,54,28,2,100,6,2,0,6
1,55,0,0,0,2,2,0,2
1,56,48,5,80,0,2,0,0
1,57,62,6,50,0,2,0,0
1,58,62,4,100,2,2,0,2
1,59,28,5,60,5,2,1,4
1,60,18,3,33.33333333,4,2,0,4
1,61,40,4,100,2,2,2,0
1,62,18,1,100,0,2,0,0
1,63,48,1,100,0,2,0,0
1,64,50,1,100,0,2,0,0
1,65,78,1,100,0,2,0,0
1,66,44,7,100,0,2,0,0
1,67,56,4,75,0,2,0,0
1,68,22,2,50,3,2,0,3
1,69,56,1,0,2,2,0,2
1,70,38,3,66.66666667,1,2,0,1
1,71,48,1,100,0,2,0,0
1,72,58,5,60,2,2,2,0
1,73,0,0,0,4,2,0,4
1,74,38,1,100,0,2,0,0
1,75,18,1,0,5,2,3,2
1,76,22,3,66.66666667,6,2,0,6
1,77,66,3,66.66666667,1,2,0,1
1,78,54,4,75,0,2,0,0
1,79,64,4,75,0,2,0,0
1,80,6,1,0,3,2,0,3
1,81,30,1,0,0,2,0,0
1,82,64,4,100,1,2,1,0
1,83,14,1,100,3,2,0,3
1,84,26,2,100,1,2,0,1
1,85,28,4,50,0,2,0,0
1,86,48,5,60,0,2,0,0
1,87,38,3,100,0,2,0,0
1,88,40,5,40,0,2,0,0
1,89,44,4,100,0,2,0,0
1,90,32,4,50,4,2,2,2
1,91,52,4,75,2,2,2,0
1,92,4,1,0,2,2,0,2
1,93,0,0,0,0,2,0,0
1,94,60,4,50,0,3,0,0
1,95,24,4,75,6,3,0,6
1,96,74,2,100,3,3,0,3
1,97,32,3,66.66666667,13,3,0,13
1,98,48,3,66.66666667,3,3,0,3
